k,rmse,mae,r2,time_s
1,5.199454380176984,2.4042216834666004,0.8651622784437446,172.801775932312
3,5.688072055841973,2.660474916738331,0.8386287957834871,174.53030562400818
5,5.899687024043213,3.1115828379112,0.8263983664705473,189.11391377449036
8,5.65112979410924,2.598685029474751,0.840718100710349,186.28654885292053
10,6.0014539861042,2.872654956484796,0.820357610771087,193.53136324882507
15,6.005781163789352,2.902667408840694,0.8200984653103827,231.69865155220032
20,6.192203560345244,3.0302958097204957,0.8087566640470915,213.87873077392578
