feature,importance_mean,importance_std
power,4.165578161201015,0.05054433273388661
power_over_r_xy,3.690989243925209,0.027017415464177044
log_power_r,2.574833389513732,0.001941762089840223
time,2.09070215676071,0.04230106114810606
coor_x,1.4706390354613015,0.005494547639278515
r_xy,0.6191294473437535,0.005661025302964622
power_x_time,0.37278268962208827,0.009868677394940665
coor_y,0.050217013712674806,0.024555380065567404
power_density,0.029178080627219494,0.0064136441555093186
time_years,0.0,0.0
coor_z,0.0,0.0
r_xyz,0.0,0.0
abs_y,0.0,0.0
log_time,0.0,0.0
power_over_r_xyz,0.0,0.0
